src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.9,192.168.1.51,63973,80,6,2023-12-01 10:24:54,1994.9999999999998,875689.2230576442,5513.784461152883,3007.5187969924814,2506.2656641604012,6,5,923,824,581.0,66.0,153.83333333333334,191.0849869095482,552.0,66.0,164.8,193.6247918010501,581,66,158.8181818181818,192.32114155132115,36987.42148760331,120,100,0,1,199.5,857.0,0.0,245.19634989126573,1986.0,1179.0,0.0,397.2,418.1891438093533,1898.0,857.0,61.0,474.5,283.00220847194817,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,158.8181818181818,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.83333333333334,164.8,0,6,5,923,824
192.168.1.9,192.168.1.51,63974,80,6,2023-12-01 10:24:57,2386.0,708298.4073763621,4191.1148365465215,2095.5574182732607,2095.5574182732607,5,5,866,824,590.0,66.0,173.2,208.4518169745709,552.0,66.0,164.8,193.6247918010501,590,66,169.0,201.21878639928232,40489.0,100,100,0,1,265.1111111111111,995.0,8.0,284.65434963378317,2378.0,1443.0,158.0,594.5,500.91840652944666,2271.0,995.0,55.0,567.75,336.8288697543606,0,0,0,0,1,0,0,0,0,0,0,1.0,169.0,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.2,164.8,0,5,5,866,824
192.168.1.9,192.168.1.51,63975,80,6,2023-12-01 10:24:59,2094.0,842884.4317096466,5253.104106972302,2865.329512893983,2387.7745940783193,6,5,941,824,599.0,66.0,156.83333333333334,197.7914867283782,552.0,66.0,164.8,193.6247918010501,599,66,160.45454545454547,195.9486777131212,38395.88429752065,120,100,0,1,209.4,877.0,0.0,254.11343923531476,2088.0,1252.0,0.0,417.6,445.56507942162614,2000.0,877.0,55.0,500.0,297.12118739665806,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,160.45454545454547,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.83333333333334,164.8,0,6,5,941,824
192.168.1.9,192.168.1.51,63976,80,6,2023-12-01 10:25:03,2075.0,854939.7590361446,5301.204819277108,2891.5662650602408,2409.6385542168673,6,5,950,824,608.0,66.0,158.33333333333334,201.14477925668916,552.0,66.0,164.8,193.6247918010501,608,66,161.27272727272728,197.78826645457877,39120.19834710745,120,100,0,1,207.5,861.0,0.0,248.85065802605385,2068.0,1188.0,0.0,413.6,416.82495126851506,1991.0,861.0,55.0,497.75,287.85879785061286,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,161.27272727272728,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.33333333333334,164.8,0,6,5,950,824
192.168.1.9,192.168.1.51,63977,80,6,2023-12-01 10:25:04,1375.0,1296727.2727272727,8000.000000000001,4363.636363636364,3636.3636363636365,6,5,959,824,617.0,66.0,159.83333333333334,204.4980983339997,552.0,66.0,164.8,193.6247918010501,617,66,162.0909090909091,199.6444360017235,39857.900826446275,120,100,0,1,137.5,346.0,1.0,129.46292905693122,1369.0,658.0,1.0,273.8,237.18381057736633,1311.0,477.0,42.0,327.75,171.93367180398377,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,162.0909090909091,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.83333333333334,164.8,0,6,5,959,824
192.168.1.9,192.168.1.51,63978,80,6,2023-12-01 10:25:06,1459.0,1137765.59287183,6854.009595613434,3427.004797806717,3427.004797806717,5,5,836,824,560.0,66.0,167.2,196.45498212058658,552.0,66.0,164.8,193.6247918010501,560,66,166.0,195.0487118644981,38044.0,100,100,0,1,162.11111111111111,338.0,6.0,108.15672213602758,1453.0,695.0,111.0,363.25,218.02107122936536,1354.0,450.0,117.0,338.5,135.74332396107,0,0,0,0,1,0,0,0,0,0,0,1.0,166.0,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.2,164.8,0,5,5,836,824
192.168.1.9,192.168.1.51,63982,80,6,2023-12-01 10:25:09,1954.0,890992.835209826,5629.477993858752,3070.6243602865916,2558.8536335721597,6,5,917,824,575.0,66.0,152.83333333333334,188.84951386987706,552.0,66.0,164.8,193.6247918010501,575,66,158.27272727272728,191.12779680293443,36529.834710743795,120,100,0,1,195.4,665.0,0.0,191.80469233050582,1948.0,1025.0,0.0,389.6,359.22950881017556,1797.0,665.0,79.0,449.25,221.63751374710915,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,158.27272727272728,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.83333333333334,164.8,0,6,5,917,824
192.168.1.9,192.168.1.51,63983,80,6,2023-12-01 10:25:12,1587.0,1106490.2331442973,6931.316950220542,3780.7183364839316,3150.59861373661,6,5,932,824,590.0,66.0,155.33333333333334,194.43822212266346,552.0,66.0,164.8,193.6247918010501,590,66,159.63636363636363,194.1261411497327,37684.95867768594,120,100,0,1,158.7,404.0,0.0,142.04791445142726,1580.0,768.0,0.0,316.0,269.5974777330085,1488.0,586.0,47.0,372.0,199.17705691168348,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,159.63636363636363,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.33333333333334,164.8,0,6,5,932,824
192.168.1.9,192.168.1.51,63984,80,6,2023-12-01 10:25:13,1538.0,1151495.4486345903,7152.145643693108,3901.1703511053315,3250.975292587776,6,5,947,824,605.0,66.0,157.83333333333334,200.0270120647598,552.0,66.0,164.8,193.6247918010501,605,66,161.0,197.17320489172135,38877.27272727273,120,100,0,1,153.8,398.0,0.0,142.1153052981979,1532.0,712.0,0.0,306.4,246.72786628186122,1472.0,546.0,43.0,368.0,194.87046979981343,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,161.0,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.83333333333334,164.8,0,6,5,947,824
192.168.1.9,192.168.1.51,63985,80,6,2023-12-01 10:25:14,1847.0,931239.8484028154,5414.185165132648,2707.092582566324,2707.092582566324,5,5,896,824,620.0,66.0,179.2,220.4489963687746,552.0,66.0,164.8,193.6247918010501,620,66,172.0,207.59576103572059,43096.0,100,100,0,1,205.22222222222223,600.0,9.0,176.9687843018761,1838.0,927.0,157.0,459.5,286.7389928140224,1750.0,600.0,81.0,437.5,207.6228551966281,0,0,0,0,1,0,0,0,0,0,0,1.0,172.0,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.2,164.8,0,5,5,896,824
192.168.1.9,192.168.1.51,63986,80,6,2023-12-01 10:25:15,1614.0,1115861.2143742256,6815.365551425031,3717.472118959108,3097.893432465923,6,5,977,824,635.0,66.0,162.83333333333334,211.20481107735736,552.0,66.0,164.8,193.6247918010501,635,66,163.72727272727272,203.40469776870975,41373.47107438016,120,100,0,1,161.4,374.0,0.0,146.05971381595955,1607.0,661.0,0.0,321.4,241.42460520833416,1505.0,567.0,51.0,376.25,200.5484667106682,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,163.72727272727272,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.83333333333334,164.8,0,6,5,977,824
192.168.1.9,192.168.1.51,63987,80,6,2023-12-01 10:25:18,1746.0,1002290.950744559,5727.37686139748,2863.68843069874,2863.68843069874,5,5,926,824,650.0,66.0,185.2,232.44646695529704,552.0,66.0,164.8,193.6247918010501,650,66,175.0,214.1611542740653,45865.0,100,100,0,1,194.0,470.0,9.0,154.57756053911,1737.0,871.0,115.0,434.25,278.96180294083274,1648.0,608.0,59.0,412.0,209.87496277545827,0,0,0,0,1,0,0,0,0,0,0,1.0,175.0,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.2,164.8,0,5,5,926,824
192.168.1.9,192.168.1.51,63988,80,6,2023-12-01 10:25:20,2732.0,670204.9780380673,4026.3543191800877,2196.1932650073204,1830.161054172767,6,5,1007,824,665.0,66.0,167.83333333333334,222.38286554698604,552.0,66.0,164.8,193.6247918010501,665,66,166.45454545454547,209.805695232675,44018.4297520661,120,100,0,1,273.2,804.0,0.0,303.44943565609077,2715.0,1542.0,0.0,543.0,564.5755928128668,2624.0,1287.0,48.0,656.0,452.4848063747555,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,166.45454545454547,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.83333333333334,164.8,0,6,5,1007,824
192.168.1.9,192.168.1.51,63989,80,6,2023-12-01 10:25:23,1593.0,1087256.7482736974,6905.210295040803,3766.478342749529,3138.7319522912744,6,5,908,824,566.0,66.0,151.33333333333334,185.4963312006167,552.0,66.0,164.8,193.6247918010501,566,66,157.45454545454547,189.3531398478724,35854.61157024792,120,100,0,1,159.3,443.0,0.0,169.81581198463232,1582.0,633.0,0.0,316.4,266.8172408222527,1509.0,665.0,40.0,377.25,229.43558464196437,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,157.45454545454547,65535,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.33333333333334,164.8,0,6,5,908,824
192.168.1.9,192.168.1.51,63990,80,6,2023-12-01 10:25:25,2435.0,719917.864476386,4517.453798767967,2464.065708418891,2053.388090349076,6,5,929,824,587.0,66.0,154.83333333333334,193.32047371025024,552.0,66.0,164.8,193.6247918010501,587,66,159.36363636363637,193.52250173477486,37450.95867768594,120,100,0,1,243.5,830.0,0.0,248.00735876179158,2425.0,1214.0,0.0,485.0,435.13951785605497,2204.0,830.0,63.0,551.0,292.31233295911414,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,159.36363636363637,65535,505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.83333333333334,164.8,0,6,5,929,824
